Timestamp,Repository Name,Total SLOC,Language Breakdown
2024-05-01 00:00:00,pds-view,7707,"{""Python"": 4117, ""HTML"": 1584, ""Velocity Template Language"": 920, ""Text"": 455, ""SVG"": 219, ""Markdown"": 184, ""reStructuredText"": 155, ""XML"": 41, ""YAML"": 31, ""JSON"": 1}"
2024-05-01 00:00:00,feedback-widget,1242,"{""JavaScript"": 511, ""CSS"": 507, ""Markdown"": 145, ""YAML"": 44, ""PHP"": 21, ""Bourne Shell"": 13, ""SVG"": 1}"
2024-05-01 00:00:00,nasa-pds.github.io,59745,"{""HTML"": 33360, ""JavaScript"": 11346, ""reStructuredText"": 11049, ""SVG"": 2732, ""CSS"": 797, ""Markdown"": 206, ""YAML"": 139, ""Python"": 41, ""Text"": 32, ""DOS Batch"": 26, ""make"": 13, ""JSON"": 4}"
2024-05-01 00:00:00,validate,1590816,"{""CSV"": 1044769, ""SQL"": 302504, ""XML"": 92063, ""XSD"": 61663, ""JSON"": 27068, ""Java"": 24280, ""Scheme"": 17200, ""HTML"": 9691, ""Text"": 3556, ""XSLT"": 2877, ""Markdown"": 2668, ""Properties"": 502, ""YAML"": 350, ""Velocity Template Language"": 339, ""Maven"": 338, ""Cucumber"": 230, ""Bourne Again Shell"": 208, ""DTD"": 144, ""HCL"": 135, ""Bourne Shell"": 126, ""Python"": 51, ""DOS Batch"": 34, ""Dockerfile"": 10, ""TeX"": 10}"
2024-05-01 00:00:00,pds3-product-tools,85270,"{""Java"": 82653, ""XML"": 1168, ""ANTLR Grammar"": 485, ""YAML"": 246, ""Text"": 173, ""Maven"": 167, ""Markdown"": 130, ""Properties"": 97, ""Velocity Template Language"": 75, ""HTML"": 41, ""Ant"": 31, ""JSON"": 4}"
2024-05-01 00:00:00,pds4-jparser,178064,"{""XSD"": 113673, ""HTML"": 21338, ""Java"": 13834, ""XML"": 9767, ""CSV"": 7191, ""Scheme"": 6226, ""Text"": 2273, ""SQL"": 2064, ""Velocity Template Language"": 417, ""Markdown"": 409, ""Maven"": 380, ""YAML"": 256, ""Ant"": 79, ""Properties"": 37, ""Bourne Again Shell"": 36, ""Bourne Shell"": 29, ""DOS Batch"": 29, ""XSLT"": 22, ""JSON"": 4}"
2024-05-01 00:00:00,transform,11571,"{""Java"": 4384, ""XML"": 3769, ""Velocity Template Language"": 1795, ""Python"": 580, ""Maven"": 270, ""YAML"": 252, ""Markdown"": 188, ""Text"": 169, ""XSLT"": 113, ""Bourne Shell"": 19, ""DOS Batch"": 17, ""Properties"": 8, ""JSON"": 4, ""CSV"": 3}"
2024-05-01 00:00:00,pds4-information-model,1478646,"{""XML"": 1300355, ""XSD"": 63894, ""HTML"": 40269, ""Java"": 26244, ""Scheme"": 15920, ""JavaScript"": 11791, ""Properties"": 11481, ""Text"": 2336, ""CSS"": 2295, ""Markdown"": 1662, ""YAML"": 659, ""Velocity Template Language"": 596, ""Maven"": 551, ""CSV"": 434, ""Bourne Shell"": 115, ""DOS Batch"": 31, ""SVG"": 9, ""JSON"": 4}"
2024-05-01 00:00:00,template-repo-java,864,"{""Markdown"": 335, ""YAML"": 282, ""Maven"": 87, ""XML"": 65, ""Java"": 39, ""HCL"": 29, ""Text"": 26, ""Properties"": 1}"
2024-05-01 00:00:00,harvest,5052,"{""Java"": 3013, ""XML"": 649, ""Markdown"": 574, ""XSD"": 328, ""YAML"": 233, ""Maven"": 173, ""DOS Batch"": 31, ""Text"": 26, ""Bourne Again Shell"": 21, ""JSON"": 4}"
